A,B,C,D
20,0,Category3,2028-12-07
8,0,Category1,2028-12-08
43,0,Category3,2028-12-09
76,0,Category1,2028-12-10
1,0,Category3,2028-12-11
57,0,Category2,2028-12-12
64,0,Category3,2028-12-13
84,0,Category3,2028-12-14
28,0,Category3,2028-12-15
37,0,Category1,2028-12-16
47,0,Category1,2028-12-17
76,0,Category2,2028-12-18
37,0,Category2,2028-12-19
49,0,Category2,2028-12-20
44,0,Category1,2028-12-21
56,0,Category2,2028-12-22
28,0,Category2,2028-12-23
79,0,Category3,2028-12-24
6,0,Category2,2028-12-25
61,0,Category3,2028-12-26
20,0,Category1,2028-12-27
78,0,Category1,2028-12-28
2,0,Category3,2028-12-29
73,0,Category2,2028-12-30
37,0,Category1,2028-12-31
20,0,Category3,2029-01-01
26,0,Category1,2029-01-02
29,0,Category1,2029-01-03
1,0,Category2,2029-01-04
35,0,Category1,2029-01-05
70,0,Category3,2029-01-06
59,0,Category2,2029-01-07
69,0,Category3,2029-01-08
33,0,Category3,2029-01-09
51,0,Category3,2029-01-10
78,0,Category2,2029-01-11
12,0,Category1,2029-01-12
20,0,Category3,2029-01-13
53,0,Category1,2029-01-14
88,0,Category1,2029-01-15
43,0,Category3,2029-01-16
98,0,Category1,2029-01-17
89,0,Category2,2029-01-18
50,0,Category2,2029-01-19
29,0,Category1,2029-01-20
57,0,Category1,2029-01-21
39,0,Category2,2029-01-22
95,0,Category1,2029-01-23
56,0,Category1,2029-01-24
43,0,Category1,2029-01-25
50,0,Category1,2029-01-26
23,0,Category3,2029-01-27
44,0,Category1,2029-01-28
38,0,Category2,2029-01-29
84,0,Category3,2029-01-30
23,0,Category3,2029-01-31
45,0,Category2,2029-02-01
52,0,Category1,2029-02-02
80,0,Category3,2029-02-03
50,0,Category3,2029-02-04
8,0,Category1,2029-02-05
85,0,Category1,2029-02-06
1,0,Category2,2029-02-07
8,0,Category3,2029-02-08
29,0,Category1,2029-02-09
96,0,Category1,2029-02-10
5,0,Category2,2029-02-11
86,0,Category3,2029-02-12
47,0,Category1,2029-02-13
34,0,Category2,2029-02-14
65,0,Category3,2029-02-15
55,0,Category3,2029-02-16
90,0,Category3,2029-02-17
43,0,Category3,2029-02-18
74,0,Category2,2029-02-19
30,0,Category1,2029-02-20
82,0,Category3,2029-02-21
17,0,Category3,2029-02-22
26,0,Category1,2029-02-23
8,0,Category3,2029-02-24
47,0,Category3,2029-02-25
76,0,Category1,2029-02-26
91,0,Category1,2029-02-27
72,0,Category3,2029-02-28
89,0,Category1,2029-03-01
46,0,Category2,2029-03-02
68,0,Category2,2029-03-03
33,0,Category3,2029-03-04
1,0,Category3,2029-03-05
19,0,Category1,2029-03-06
31,0,Category1,2029-03-07
80,0,Category3,2029-03-08
14,0,Category3,2029-03-09
53,0,Category2,2029-03-10
48,0,Category1,2029-03-11
69,0,Category3,2029-03-12
90,0,Category3,2029-03-13
62,0,Category1,2029-03-14
92,0,Category1,2029-03-15
66,0,Category3,2029-03-16
64,0,Category3,2029-03-17
70,0,Category3,2029-03-18
63,0,Category1,2029-03-19
73,0,Category3,2029-03-20
33,0,Category3,2029-03-21
41,0,Category3,2029-03-22
89,0,Category2,2029-03-23
48,0,Category2,2029-03-24
13,0,Category1,2029-03-25
73,0,Category3,2029-03-26
77,0,Category3,2029-03-27
31,0,Category1,2029-03-28
75,0,Category1,2029-03-29
68,0,Category1,2029-03-30
98,0,Category3,2029-03-31
4,0,Category2,2029-04-01
19,0,Category1,2029-04-02
70,0,Category3,2029-04-03
98,0,Category1,2029-04-04
82,0,Category3,2029-04-05
13,0,Category1,2029-04-06
23,0,Category3,2029-04-07
83,0,Category1,2029-04-08
75,0,Category2,2029-04-09
1,0,Category1,2029-04-10
88,0,Category1,2029-04-11
54,0,Category2,2029-04-12
71,0,Category1,2029-04-13
89,0,Category2,2029-04-14
85,0,Category3,2029-04-15
15,0,Category2,2029-04-16
65,0,Category2,2029-04-17
76,0,Category3,2029-04-18
71,0,Category2,2029-04-19
15,0,Category2,2029-04-20
21,0,Category3,2029-04-21
19,0,Category1,2029-04-22
60,0,Category1,2029-04-23
93,0,Category2,2029-04-24
89,0,Category1,2029-04-25
33,0,Category1,2029-04-26
49,0,Category2,2029-04-27
96,0,Category3,2029-04-28
35,0,Category1,2029-04-29
44,0,Category2,2029-04-30
90,0,Category3,2029-05-01
11,0,Category1,2029-05-02
99,0,Category3,2029-05-03
72,0,Category2,2029-05-04
78,0,Category3,2029-05-05
74,0,Category3,2029-05-06
66,0,Category2,2029-05-07
46,0,Category1,2029-05-08
9,0,Category1,2029-05-09
3,0,Category3,2029-05-10
85,0,Category3,2029-05-11
26,0,Category3,2029-05-12
72,0,Category3,2029-05-13
48,0,Category1,2029-05-14
66,0,Category2,2029-05-15
70,0,Category2,2029-05-16
28,0,Category2,2029-05-17
93,0,Category3,2029-05-18
26,0,Category3,2029-05-19
25,0,Category2,2029-05-20
12,0,Category1,2029-05-21
5,0,Category2,2029-05-22
98,0,Category1,2029-05-23
48,0,Category3,2029-05-24
37,0,Category2,2029-05-25
79,0,Category2,2029-05-26
44,0,Category3,2029-05-27
15,0,Category1,2029-05-28
43,0,Category2,2029-05-29
48,0,Category2,2029-05-30
87,0,Category1,2029-05-31
70,0,Category2,2029-06-01
46,0,Category2,2029-06-02
43,0,Category3,2029-06-03
21,0,Category1,2029-06-04
23,0,Category2,2029-06-05
80,0,Category2,2029-06-06
47,0,Category3,2029-06-07
15,0,Category2,2029-06-08
25,0,Category3,2029-06-09
36,0,Category2,2029-06-10
75,0,Category3,2029-06-11
51,0,Category1,2029-06-12
15,0,Category1,2029-06-13
68,0,Category2,2029-06-14
21,0,Category2,2029-06-15
13,0,Category3,2029-06-16
86,0,Category3,2029-06-17
19,0,Category1,2029-06-18
34,0,Category2,2029-06-19
78,0,Category3,2029-06-20
68,0,Category1,2029-06-21
52,0,Category1,2029-06-22
27,0,Category3,2029-06-23
29,0,Category2,2029-06-24
28,0,Category1,2029-06-25
35,0,Category3,2029-06-26
8,0,Category1,2029-06-27
16,0,Category2,2029-06-28
36,0,Category3,2029-06-29
30,0,Category2,2029-06-30
18,0,Category2,2029-07-01
2,0,Category1,2029-07-02
49,0,Category2,2029-07-03
77,0,Category1,2029-07-04
4,0,Category3,2029-07-05
90,0,Category3,2029-07-06
89,0,Category1,2029-07-07
94,0,Category1,2029-07-08
75,0,Category1,2029-07-09
7,0,Category2,2029-07-10
95,0,Category3,2029-07-11
74,0,Category3,2029-07-12
39,0,Category2,2029-07-13
13,0,Category1,2029-07-14
31,0,Category3,2029-07-15
71,0,Category2,2029-07-16
63,0,Category1,2029-07-17
56,0,Category3,2029-07-18
42,0,Category1,2029-07-19
61,0,Category2,2029-07-20
42,0,Category3,2029-07-21
56,0,Category1,2029-07-22
36,0,Category1,2029-07-23
84,0,Category1,2029-07-24
68,0,Category2,2029-07-25
7,0,Category1,2029-07-26
54,0,Category3,2029-07-27
1,0,Category3,2029-07-28
44,0,Category1,2029-07-29
45,0,Category2,2029-07-30
47,0,Category3,2029-07-31
13,0,Category3,2029-08-01
22,0,Category3,2029-08-02
21,0,Category1,2029-08-03
86,0,Category3,2029-08-04
92,0,Category1,2029-08-05
9,0,Category1,2029-08-06
26,0,Category1,2029-08-07
9,0,Category1,2029-08-08
15,0,Category1,2029-08-09
10,0,Category3,2029-08-10
88,0,Category1,2029-08-11
42,0,Category1,2029-08-12
72,0,Category1,2029-08-13
24,0,Category1,2029-08-14
80,0,Category1,2029-08-15
49,0,Category1,2029-08-16
26,0,Category3,2029-08-17
91,0,Category1,2029-08-18
37,0,Category1,2029-08-19
68,0,Category3,2029-08-20
50,0,Category3,2029-08-21
24,0,Category2,2029-08-22
19,0,Category3,2029-08-23
60,0,Category3,2029-08-24
39,0,Category1,2029-08-25
74,0,Category2,2029-08-26
89,0,Category1,2029-08-27
18,0,Category2,2029-08-28
19,0,Category1,2029-08-29
36,0,Category3,2029-08-30
74,0,Category3,2029-08-31
97,0,Category2,2029-09-01
55,0,Category1,2029-09-02
69,0,Category1,2029-09-03
47,0,Category3,2029-09-04
49,0,Category3,2029-09-05
99,0,Category2,2029-09-06
98,0,Category3,2029-09-07
33,0,Category2,2029-09-08
21,0,Category2,2029-09-09
81,0,Category2,2029-09-10
22,0,Category2,2029-09-11
48,0,Category3,2029-09-12
37,0,Category2,2029-09-13
15,0,Category3,2029-09-14
35,0,Category2,2029-09-15
92,0,Category3,2029-09-16
71,0,Category2,2029-09-17
32,0,Category3,2029-09-18
11,0,Category1,2029-09-19
10,0,Category2,2029-09-20
73,0,Category2,2029-09-21
78,0,Category1,2029-09-22
77,0,Category1,2029-09-23
57,0,Category2,2029-09-24
25,0,Category3,2029-09-25
2,0,Category2,2029-09-26
64,0,Category3,2029-09-27
35,0,Category1,2029-09-28
7,0,Category3,2029-09-29
85,0,Category2,2029-09-30
18,0,Category1,2029-10-01
67,0,Category1,2029-10-02
42,0,Category2,2029-10-03
39,0,Category2,2029-10-04
41,0,Category1,2029-10-05
75,0,Category3,2029-10-06
24,0,Category3,2029-10-07
60,0,Category3,2029-10-08
46,0,Category2,2029-10-09
19,0,Category1,2029-10-10
68,0,Category3,2029-10-11
90,0,Category1,2029-10-12
42,0,Category3,2029-10-13
32,0,Category1,2029-10-14
39,0,Category2,2029-10-15
36,0,Category2,2029-10-16
97,0,Category2,2029-10-17
36,0,Category3,2029-10-18
3,0,Category2,2029-10-19
73,0,Category2,2029-10-20
8,0,Category2,2029-10-21
97,0,Category1,2029-10-22
70,0,Category1,2029-10-23
41,0,Category1,2029-10-24
68,0,Category1,2029-10-25
13,0,Category1,2029-10-26
49,0,Category1,2029-10-27
60,0,Category1,2029-10-28
2,0,Category2,2029-10-29
60,0,Category2,2029-10-30
5,0,Category3,2029-10-31
44,0,Category2,2029-11-01
27,0,Category1,2029-11-02
32,0,Category1,2029-11-03
21,0,Category3,2029-11-04
8,0,Category2,2029-11-05
72,0,Category2,2029-11-06
50,0,Category3,2029-11-07
67,0,Category1,2029-11-08
44,0,Category1,2029-11-09
58,0,Category1,2029-11-10
3,0,Category1,2029-11-11
86,0,Category3,2029-11-12
70,0,Category2,2029-11-13
2,0,Category1,2029-11-14
87,0,Category2,2029-11-15
44,0,Category2,2029-11-16
2,0,Category1,2029-11-17
81,0,Category1,2029-11-18
35,0,Category1,2029-11-19
98,0,Category2,2029-11-20
87,0,Category3,2029-11-21
30,0,Category1,2029-11-22
8,0,Category2,2029-11-23
22,0,Category2,2029-11-24
44,0,Category1,2029-11-25
58,0,Category3,2029-11-26
36,0,Category1,2029-11-27
69,0,Category1,2029-11-28
77,0,Category3,2029-11-29
93,0,Category1,2029-11-30
31,0,Category1,2029-12-01
47,0,Category3,2029-12-02
55,0,Category2,2029-12-03
80,0,Category2,2029-12-04
62,0,Category2,2029-12-05
30,0,Category2,2029-12-06
55,0,Category2,2029-12-07
16,0,Category1,2029-12-08
12,0,Category3,2029-12-09
17,0,Category2,2029-12-10
16,0,Category3,2029-12-11
12,0,Category2,2029-12-12
8,0,Category1,2029-12-13
84,0,Category2,2029-12-14
3,0,Category2,2029-12-15
16,0,Category3,2029-12-16
30,0,Category3,2029-12-17
23,0,Category1,2029-12-18
92,0,Category3,2029-12-19
5,0,Category3,2029-12-20
84,0,Category3,2029-12-21
65,0,Category1,2029-12-22
30,0,Category1,2029-12-23
21,0,Category1,2029-12-24
84,0,Category3,2029-12-25
70,0,Category3,2029-12-26
22,0,Category1,2029-12-27
82,0,Category3,2029-12-28
72,0,Category3,2029-12-29
32,0,Category2,2029-12-30
33,0,Category1,2029-12-31
16,0,Category1,2030-01-01
76,0,Category3,2030-01-02
38,0,Category3,2030-01-03
98,0,Category2,2030-01-04
14,0,Category1,2030-01-05
36,0,Category1,2030-01-06
97,0,Category3,2030-01-07
23,0,Category1,2030-01-08
66,0,Category3,2030-01-09
85,0,Category2,2030-01-10
2,0,Category3,2030-01-11
91,0,Category2,2030-01-12
73,0,Category3,2030-01-13
65,0,Category2,2030-01-14
75,0,Category2,2030-01-15
67,0,Category1,2030-01-16
52,0,Category3,2030-01-17
62,0,Category1,2030-01-18
23,0,Category1,2030-01-19
26,0,Category3,2030-01-20
68,0,Category1,2030-01-21
82,0,Category1,2030-01-22
55,0,Category1,2030-01-23
6,0,Category3,2030-01-24
35,0,Category1,2030-01-25
22,0,Category1,2030-01-26
43,0,Category1,2030-01-27
15,0,Category3,2030-01-28
86,0,Category2,2030-01-29
60,0,Category2,2030-01-30
12,0,Category2,2030-01-31
49,0,Category2,2030-02-01
42,0,Category1,2030-02-02
38,0,Category3,2030-02-03
82,0,Category1,2030-02-04
45,0,Category3,2030-02-05
35,0,Category1,2030-02-06
30,0,Category2,2030-02-07
88,0,Category2,2030-02-08
30,0,Category3,2030-02-09
78,0,Category1,2030-02-10
6,0,Category2,2030-02-11
67,0,Category3,2030-02-12
80,0,Category1,2030-02-13
7,0,Category3,2030-02-14
52,0,Category1,2030-02-15
14,0,Category1,2030-02-16
73,0,Category1,2030-02-17
15,0,Category3,2030-02-18
21,0,Category3,2030-02-19
35,0,Category1,2030-02-20
66,0,Category2,2030-02-21
91,0,Category1,2030-02-22
2,0,Category3,2030-02-23
35,0,Category1,2030-02-24
82,0,Category3,2030-02-25
78,0,Category1,2030-02-26
20,0,Category1,2030-02-27
82,0,Category2,2030-02-28
10,0,Category2,2030-03-01
25,0,Category3,2030-03-02
66,0,Category1,2030-03-03
25,0,Category3,2030-03-04
54,0,Category1,2030-03-05
33,0,Category1,2030-03-06
36,0,Category1,2030-03-07
95,0,Category2,2030-03-08
14,0,Category3,2030-03-09
65,0,Category1,2030-03-10
80,0,Category1,2030-03-11
54,0,Category3,2030-03-12
52,0,Category3,2030-03-13
3,0,Category1,2030-03-14
99,0,Category2,2030-03-15
41,0,Category2,2030-03-16
6,0,Category1,2030-03-17
25,0,Category2,2030-03-18
13,0,Category3,2030-03-19
98,0,Category2,2030-03-20
8,0,Category3,2030-03-21
21,0,Category3,2030-03-22
98,0,Category3,2030-03-23
68,0,Category3,2030-03-24
25,0,Category2,2030-03-25
79,0,Category3,2030-03-26
68,0,Category1,2030-03-27
45,0,Category3,2030-03-28
60,0,Category1,2030-03-29
12,0,Category3,2030-03-30
32,0,Category3,2030-03-31
96,0,Category2,2030-04-01
92,0,Category3,2030-04-02
13,0,Category3,2030-04-03
31,0,Category2,2030-04-04
78,0,Category2,2030-04-05
20,0,Category1,2030-04-06
18,0,Category2,2030-04-07
93,0,Category1,2030-04-08
60,0,Category3,2030-04-09
63,0,Category1,2030-04-10
6,0,Category2,2030-04-11
32,0,Category3,2030-04-12
93,0,Category1,2030-04-13
43,0,Category1,2030-04-14
2,0,Category1,2030-04-15
60,0,Category3,2030-04-16
23,0,Category1,2030-04-17
83,0,Category1,2030-04-18
31,0,Category2,2030-04-19
5,0,Category1,2030-04-20
83,0,Category3,2030-04-21
34,0,Category2,2030-04-22
10,0,Category3,2030-04-23
89,0,Category2,2030-04-24
2,0,Category2,2030-04-25
11,0,Category1,2030-04-26
50,0,Category3,2030-04-27
31,0,Category1,2030-04-28
56,0,Category2,2030-04-29
79,0,Category1,2030-04-30
73,0,Category2,2030-05-01
87,0,Category2,2030-05-02
83,0,Category3,2030-05-03
9,0,Category3,2030-05-04
99,0,Category3,2030-05-05
21,0,Category3,2030-05-06
73,0,Category1,2030-05-07
28,0,Category3,2030-05-08
62,0,Category3,2030-05-09
7,0,Category3,2030-05-10
80,0,Category2,2030-05-11
16,0,Category2,2030-05-12
97,0,Category3,2030-05-13
4,0,Category2,2030-05-14
4,0,Category2,2030-05-15
40,0,Category1,2030-05-16
17,0,Category2,2030-05-17
52,0,Category1,2030-05-18
93,0,Category2,2030-05-19
52,0,Category3,2030-05-20
36,0,Category2,2030-05-21
38,0,Category2,2030-05-22
50,0,Category1,2030-05-23
63,0,Category3,2030-05-24
63,0,Category1,2030-05-25
62,0,Category3,2030-05-26
99,0,Category3,2030-05-27
7,0,Category1,2030-05-28
27,0,Category2,2030-05-29
92,0,Category3,2030-05-30
86,0,Category2,2030-05-31
14,0,Category1,2030-06-01
71,0,Category1,2030-06-02
86,0,Category1,2030-06-03
5,0,Category1,2030-06-04
55,0,Category3,2030-06-05
2,0,Category1,2030-06-06
62,0,Category2,2030-06-07
91,0,Category2,2030-06-08
21,0,Category3,2030-06-09
79,0,Category1,2030-06-10
21,0,Category3,2030-06-11
10,0,Category3,2030-06-12
87,0,Category3,2030-06-13
58,0,Category1,2030-06-14
39,0,Category2,2030-06-15
5,0,Category2,2030-06-16
65,0,Category3,2030-06-17
13,0,Category3,2030-06-18
85,0,Category2,2030-06-19
90,0,Category2,2030-06-20
85,0,Category1,2030-06-21
53,0,Category3,2030-06-22
82,0,Category1,2030-06-23
45,0,Category2,2030-06-24
32,0,Category2,2030-06-25
36,0,Category2,2030-06-26
81,0,Category2,2030-06-27
99,0,Category1,2030-06-28
60,0,Category2,2030-06-29
11,0,Category3,2030-06-30
63,0,Category2,2030-07-01
21,0,Category3,2030-07-02
52,0,Category2,2030-07-03
55,0,Category1,2030-07-04
26,0,Category3,2030-07-05
68,0,Category1,2030-07-06
34,0,Category2,2030-07-07
52,0,Category1,2030-07-08
82,0,Category2,2030-07-09
99,0,Category1,2030-07-10
93,0,Category1,2030-07-11
52,0,Category3,2030-07-12
29,0,Category2,2030-07-13
38,0,Category1,2030-07-14
42,0,Category2,2030-07-15
21,0,Category3,2030-07-16
42,0,Category1,2030-07-17
13,0,Category2,2030-07-18
64,0,Category1,2030-07-19
17,0,Category1,2030-07-20
9,0,Category1,2030-07-21
41,0,Category1,2030-07-22
1,0,Category3,2030-07-23
2,0,Category3,2030-07-24
60,0,Category2,2030-07-25
48,0,Category2,2030-07-26
29,0,Category1,2030-07-27
97,0,Category1,2030-07-28
10,0,Category1,2030-07-29
58,0,Category3,2030-07-30
60,0,Category1,2030-07-31
21,0,Category2,2030-08-01
28,0,Category1,2030-08-02
75,0,Category3,2030-08-03
34,0,Category1,2030-08-04
8,0,Category3,2030-08-05
59,0,Category3,2030-08-06
86,0,Category3,2030-08-07
72,0,Category3,2030-08-08
49,0,Category2,2030-08-09
79,0,Category3,2030-08-10
17,0,Category2,2030-08-11
60,0,Category2,2030-08-12
87,0,Category1,2030-08-13
88,0,Category1,2030-08-14
45,0,Category3,2030-08-15
83,0,Category1,2030-08-16
69,0,Category3,2030-08-17
32,0,Category1,2030-08-18
44,0,Category3,2030-08-19
65,0,Category1,2030-08-20
87,0,Category1,2030-08-21
8,0,Category2,2030-08-22
77,0,Category1,2030-08-23
72,0,Category1,2030-08-24
87,0,Category3,2030-08-25
43,0,Category2,2030-08-26
1,0,Category3,2030-08-27
51,0,Category1,2030-08-28
24,0,Category3,2030-08-29
99,0,Category2,2030-08-30
24,0,Category3,2030-08-31
17,0,Category1,2030-09-01
5,0,Category3,2030-09-02
20,0,Category1,2030-09-03
21,0,Category2,2030-09-04
58,0,Category2,2030-09-05
31,0,Category3,2030-09-06
11,0,Category2,2030-09-07
52,0,Category3,2030-09-08
15,0,Category1,2030-09-09
83,0,Category3,2030-09-10
7,0,Category1,2030-09-11
28,0,Category2,2030-09-12
51,0,Category1,2030-09-13
58,0,Category1,2030-09-14
5,0,Category1,2030-09-15
5,0,Category1,2030-09-16
94,0,Category1,2030-09-17
96,0,Category3,2030-09-18
8,0,Category1,2030-09-19
64,0,Category1,2030-09-20
10,0,Category1,2030-09-21
38,0,Category1,2030-09-22
96,0,Category1,2030-09-23
92,0,Category1,2030-09-24
81,0,Category2,2030-09-25
95,0,Category3,2030-09-26
8,0,Category1,2030-09-27
25,0,Category3,2030-09-28
73,0,Category2,2030-09-29
66,0,Category2,2030-09-30
79,0,Category1,2030-10-01
50,0,Category3,2030-10-02
67,0,Category1,2030-10-03
49,0,Category2,2030-10-04
36,0,Category2,2030-10-05
68,0,Category3,2030-10-06
78,0,Category1,2030-10-07
41,0,Category3,2030-10-08
89,0,Category3,2030-10-09
62,0,Category2,2030-10-10
10,0,Category3,2030-10-11
21,0,Category2,2030-10-12
36,0,Category1,2030-10-13
12,0,Category3,2030-10-14
91,0,Category3,2030-10-15
2,0,Category1,2030-10-16
13,0,Category3,2030-10-17
53,0,Category1,2030-10-18
32,0,Category2,2030-10-19
95,0,Category2,2030-10-20
16,0,Category3,2030-10-21
32,0,Category2,2030-10-22
32,0,Category2,2030-10-23
98,0,Category1,2030-10-24
11,0,Category2,2030-10-25
10,0,Category2,2030-10-26
15,0,Category2,2030-10-27
17,0,Category1,2030-10-28
40,0,Category3,2030-10-29
18,0,Category1,2030-10-30
55,0,Category3,2030-10-31
73,0,Category3,2030-11-01
25,0,Category2,2030-11-02
59,0,Category2,2030-11-03
78,0,Category1,2030-11-04
89,0,Category1,2030-11-05
22,0,Category1,2030-11-06
30,0,Category2,2030-11-07
84,0,Category3,2030-11-08
85,0,Category1,2030-11-09
44,0,Category3,2030-11-10
32,0,Category2,2030-11-11
51,0,Category2,2030-11-12
46,0,Category2,2030-11-13
21,0,Category2,2030-11-14
99,0,Category3,2030-11-15
32,0,Category3,2030-11-16
94,0,Category1,2030-11-17
39,0,Category3,2030-11-18
12,0,Category3,2030-11-19
47,0,Category3,2030-11-20
18,0,Category1,2030-11-21
21,0,Category3,2030-11-22
13,0,Category3,2030-11-23
21,0,Category3,2030-11-24
8,0,Category2,2030-11-25
46,0,Category3,2030-11-26
7,0,Category1,2030-11-27
23,0,Category1,2030-11-28
96,0,Category1,2030-11-29
75,0,Category1,2030-11-30
86,0,Category2,2030-12-01
22,0,Category1,2030-12-02
89,0,Category2,2030-12-03
22,0,Category2,2030-12-04
92,0,Category2,2030-12-05
29,0,Category1,2030-12-06
13,0,Category1,2030-12-07
82,0,Category2,2030-12-08
2,0,Category2,2030-12-09
29,0,Category1,2030-12-10
85,0,Category3,2030-12-11
79,0,Category3,2030-12-12
52,0,Category3,2030-12-13
27,0,Category1,2030-12-14
50,0,Category1,2030-12-15
95,0,Category2,2030-12-16
79,0,Category1,2030-12-17
23,0,Category1,2030-12-18
88,0,Category1,2030-12-19
44,0,Category2,2030-12-20
77,0,Category2,2030-12-21
22,0,Category3,2030-12-22
43,0,Category3,2030-12-23
37,0,Category1,2030-12-24
61,0,Category1,2030-12-25
97,0,Category2,2030-12-26
56,0,Category3,2030-12-27
3,0,Category3,2030-12-28
63,0,Category3,2030-12-29
19,0,Category1,2030-12-30
23,0,Category1,2030-12-31
29,0,Category1,2031-01-01
30,0,Category2,2031-01-02
39,0,Category3,2031-01-03
25,0,Category2,2031-01-04
8,0,Category3,2031-01-05
58,0,Category1,2031-01-06
16,0,Category2,2031-01-07
72,0,Category2,2031-01-08
1,0,Category1,2031-01-09
5,0,Category3,2031-01-10
3,0,Category3,2031-01-11
65,0,Category3,2031-01-12
4,0,Category3,2031-01-13
99,0,Category1,2031-01-14
96,0,Category1,2031-01-15
64,0,Category1,2031-01-16
98,0,Category1,2031-01-17
89,0,Category2,2031-01-18
10,0,Category2,2031-01-19
21,0,Category2,2031-01-20
46,0,Category1,2031-01-21
91,0,Category3,2031-01-22
27,0,Category2,2031-01-23
66,0,Category2,2031-01-24
41,0,Category1,2031-01-25
13,0,Category3,2031-01-26
9,0,Category3,2031-01-27
36,0,Category3,2031-01-28
86,0,Category1,2031-01-29
90,0,Category3,2031-01-30
58,0,Category2,2031-01-31
54,0,Category2,2031-02-01
12,0,Category2,2031-02-02
81,0,Category1,2031-02-03
78,0,Category3,2031-02-04
14,0,Category1,2031-02-05
34,0,Category3,2031-02-06
53,0,Category1,2031-02-07
20,0,Category2,2031-02-08
75,0,Category1,2031-02-09
16,0,Category1,2031-02-10
95,0,Category1,2031-02-11
70,0,Category2,2031-02-12
56,0,Category1,2031-02-13
83,0,Category1,2031-02-14
58,0,Category2,2031-02-15
4,0,Category3,2031-02-16
4,0,Category1,2031-02-17
20,0,Category2,2031-02-18
10,0,Category1,2031-02-19
24,0,Category2,2031-02-20
99,0,Category3,2031-02-21
26,0,Category3,2031-02-22
37,0,Category1,2031-02-23
85,0,Category2,2031-02-24
54,0,Category3,2031-02-25
21,0,Category3,2031-02-26
74,0,Category2,2031-02-27
38,0,Category1,2031-02-28
46,0,Category3,2031-03-01
4,0,Category3,2031-03-02
60,0,Category3,2031-03-03
57,0,Category1,2031-03-04
45,0,Category3,2031-03-05
20,0,Category2,2031-03-06
17,0,Category1,2031-03-07
71,0,Category3,2031-03-08
4,0,Category2,2031-03-09
93,0,Category2,2031-03-10
14,0,Category1,2031-03-11
3,0,Category2,2031-03-12
88,0,Category1,2031-03-13
80,0,Category1,2031-03-14
58,0,Category1,2031-03-15
55,0,Category2,2031-03-16
4,0,Category1,2031-03-17
24,0,Category1,2031-03-18
34,0,Category2,2031-03-19
30,0,Category1,2031-03-20
82,0,Category3,2031-03-21
19,0,Category2,2031-03-22
31,0,Category2,2031-03-23
60,0,Category2,2031-03-24
60,0,Category3,2031-03-25
19,0,Category1,2031-03-26
49,0,Category2,2031-03-27
63,0,Category2,2031-03-28
83,0,Category2,2031-03-29
22,0,Category3,2031-03-30
24,0,Category3,2031-03-31
76,0,Category3,2031-04-01
30,0,Category1,2031-04-02
58,0,Category1,2031-04-03
31,0,Category3,2031-04-04
64,0,Category1,2031-04-05
19,0,Category3,2031-04-06
48,0,Category1,2031-04-07
45,0,Category1,2031-04-08
94,0,Category3,2031-04-09
55,0,Category2,2031-04-10
55,0,Category2,2031-04-11
97,0,Category1,2031-04-12
18,0,Category1,2031-04-13
63,0,Category1,2031-04-14
92,0,Category1,2031-04-15
47,0,Category1,2031-04-16
75,0,Category1,2031-04-17
57,0,Category3,2031-04-18
45,0,Category2,2031-04-19
33,0,Category2,2031-04-20
17,0,Category3,2031-04-21
70,0,Category3,2031-04-22
4,0,Category2,2031-04-23
20,0,Category2,2031-04-24
47,0,Category1,2031-04-25
91,0,Category2,2031-04-26
15,0,Category1,2031-04-27
70,0,Category1,2031-04-28
47,0,Category2,2031-04-29
78,0,Category1,2031-04-30
75,0,Category1,2031-05-01
9,0,Category3,2031-05-02
90,0,Category2,2031-05-03
16,0,Category3,2031-05-04
69,0,Category1,2031-05-05
61,0,Category1,2031-05-06
10,0,Category3,2031-05-07
50,0,Category3,2031-05-08
3,0,Category3,2031-05-09
77,0,Category1,2031-05-10
94,0,Category2,2031-05-11
70,0,Category1,2031-05-12
81,0,Category3,2031-05-13
51,0,Category2,2031-05-14
19,0,Category3,2031-05-15
42,0,Category1,2031-05-16
35,0,Category2,2031-05-17
46,0,Category2,2031-05-18
26,0,Category1,2031-05-19
69,0,Category3,2031-05-20
93,0,Category3,2031-05-21
64,0,Category3,2031-05-22
37,0,Category1,2031-05-23
84,0,Category3,2031-05-24
49,0,Category2,2031-05-25
21,0,Category3,2031-05-26
74,0,Category3,2031-05-27
64,0,Category2,2031-05-28
5,0,Category2,2031-05-29
70,0,Category3,2031-05-30
90,0,Category2,2031-05-31
4,0,Category1,2031-06-01
39,0,Category2,2031-06-02
35,0,Category1,2031-06-03
1,0,Category2,2031-06-04
24,0,Category1,2031-06-05
57,0,Category1,2031-06-06
70,0,Category3,2031-06-07
41,0,Category2,2031-06-08
54,0,Category2,2031-06-09
46,0,Category2,2031-06-10
60,0,Category1,2031-06-11
60,0,Category3,2031-06-12
57,0,Category2,2031-06-13
31,0,Category3,2031-06-14
84,0,Category3,2031-06-15
24,0,Category1,2031-06-16
89,0,Category2,2031-06-17
36,0,Category3,2031-06-18
85,0,Category2,2031-06-19
30,0,Category2,2031-06-20
24,0,Category2,2031-06-21
30,0,Category3,2031-06-22
86,0,Category1,2031-06-23
92,0,Category1,2031-06-24
7,0,Category3,2031-06-25
35,0,Category2,2031-06-26
